636A Beihai             China               1975 21290N 109050E 0000 3 00000R MM
636A Beih  197505171  940 1130 1330 1570 1780 1960 2140 2380 2680 2990 3380 3800
636A Beih  197505172 4160 4400 4470 4330 4000 3580 3110 2640 2220 1830 1460 1210
636A Beih  197505181 1160 1220 1410 1610 1790 1980 2140 2260 2470 2720 3030 3380
636A Beih  197505182 3730 4070 4250 4250 4110 3790 3370 2980 2540 2130 1790 1500
636A Beih  197505191 1370 1320 1420 1630 1860 2010 2140 2240 2320 2470 2670 2930
636A Beih  197505192 3190 3470 3700 3860 3940 3830 3590 3230 2860 2480 2140 1860
636A Beih  197505201 1640 1550 1580 1710 1960 2190 2370 2460 2460 2450 2450 2460
636A Beih  197505202 2550 2750 2970 3200 3410 3530 3540 3420 3160 2850 2540 2200
636A Beih  197505211 1960 1870 1920 2180 2460 2720 2930 3020 2950 2800 2570 2350
636A Beih  197505212 2170 2090 2140 2290 2560 2870 3060 3150 3050 2880 2710 2380
636A Beih  197505221 2110 1940 1920 2090 2380 2730 3050 3300 3300 3070 2790 2460
636A Beih  197505222 2120 1740 1470 1360 1420 1650 1990 2310 2510 2590 2540 2420
636A Beih  197505231 2300 2240 2300 2490 2800 3250 3660 3980 4100 3970 3700 3260
636A Beih  197505232 2730 2170 1660 1300 1090 1100 1230 1520 1890 2180 2320 2350
636A Beih  197505241 2310 2330 2440 2620 2940 3350 3840 4290 4600 4650 4530 4170
636A Beih  197505242 3610 2970 2370 1870 1400 1040  880  910 1140 1470 1750 1950
636A Beih  197505251 2080 2150 2240 2440 2690 3080 3540 4050 4470 4690 4690 4490
636A Beih  197505252 4060 3470 2880 2250 1730 1240  860  690  740  950 1280 1580
636A Beih  197505261 1790 1950 2050 2200 2480 2830 3250 3780 4270 4640 4810 4750
636A Beih  197505262 4460 3940 3350 2730 2160 1620 1120  730  610  660  870 1210
636A Beih  197505271 1510 1730 1890 2070 2310 2600 2990 3470 4010 4480 4790 4890
636A Beih  197505272 4790 4480 3940 3330 2720 2180 1680 1210  850  750  830 1030
636A Beih  197505281 1270 1510 1730 1900 2070 2340 2700 3130 3600 4090 4510 4760
636A Beih  197505282 4820 4650 4260 3700 3100 2530 2060 1590 1170  880  790  800
636A Beih  197505291 1000 1270 1480 1670 1860 2030 2280 2620 3050 3510 3980 4330
636A Beih  197505292 4530 4530 4290 3870 3390 2840 2310 1870 1450 1080  840  840
636A Beih  197505301  960 1190 1420 1620 1800 1930 2140 2410 2690 3070 3510 3900
636A Beih  197505302 4200 4340 4280 4030 3620 3100 2570 2100 1710 1340 1080  940
636A Beih  197505311 1010 1180 1390 1590 1790 1960 2100 2280 2520 2820 3200 3570
636A Beih  197505312 3890 4090 4180 4070 3810 3410 2950 2470 2070 1750 1470 1280
